tweet_raw_id,tweet_created_at,tweet_retweeted_status_id,tweet_quoted_status_id,tweet_in_reply_to_status_id,user_raw_id,article_id,site_id,site_label
732264601602134016,2016-05-16 17:41:00,732263161827495937,,,514200930,349814,56,0
732264607675486208,2016-05-16 17:41:01,,,,1389588518,1170428,56,0
732264686213865472,2016-05-16 17:41:20,,,,3940228785,351002,9,0
732264693579034624,2016-05-16 17:41:22,,,,865228915,58430,4,1
732264699585122304,2016-05-16 17:41:23,732237929490186245,,,744105860,11774,56,0
732264727909273600,2016-05-16 17:41:30,,,,865228915,58430,4,1
732264781193859072,2016-05-16 17:41:43,,,732264334013943813,382737246,351005,11,0
732264789733343232,2016-05-16 17:41:45,,732227877803073536,,3894175343,350576,11,0
732264809450864640,2016-05-16 17:41:50,,,,533360947,349394,14,0
732264838676635648,2016-05-16 17:41:57,732263161827495937,,,1057745347,349814,56,0
732264846377533440,2016-05-16 17:41:58,729807358340239360,,,87013061,39600,56,0
732264860759826432,2016-05-16 17:42:02,732254605627826176,732244604800643073,,16606038,1170428,56,0
732264890795208709,2016-05-16 17:42:09,732237929490186245,,,50479452,11774,56,0
732264921057071104,2016-05-16 17:42:16,,,,1389588518,350911,56,0
732264937733513216,2016-05-16 17:42:20,732258019812073472,,,97492736,11774,56,0
732265012547354624,2016-05-16 17:42:38,732244466497691648,,,2332158583,196346,68,0
732265044340154368,2016-05-16 17:42:46,,732227877803073536,,3894175343,350576,11,0
732265050094735360,2016-05-16 17:42:47,732263761227186176,,,4880418286,350812,57,0
732265113755877376,2016-05-16 17:43:02,,,732228739543760897,11700452,221502,4,1
732265118591934464,2016-05-16 17:43:03,,,,24086385,349325,68,0
732265184207720448,2016-05-16 17:43:19,732133741171253249,,,1627653006,349528,41,0
732265209990090752,2016-05-16 17:43:25,732263161827495937,,,1451597376,349814,56,0
732265276499058688,2016-05-16 17:43:41,732264116832731137,,,3319254798,350955,56,0
732265297147613184,2016-05-16 17:43:46,732244604800643073,,,3951516256,1170428,56,0
732265363715457024,2016-05-16 17:44:02,728735736753721344,728734646863839232,,2523556454,350188,3,1
732265378261295104,2016-05-16 17:44:05,732247268892377088,,,884311340,1170433,56,0
732265457990819840,2016-05-16 17:44:24,,732263288449454080,,2558996886,350755,56,0
732265462868918273,2016-05-16 17:44:25,732264116832731137,,,4827828404,350955,56,0
732265480631783424,2016-05-16 17:44:30,,,,1184392698,349394,14,0
732265484855336960,2016-05-16 17:44:31,732263162678890497,,,855820842,349814,56,0
732265542032236545,2016-05-16 17:44:44,,,,4428509920,349814,56,0
732265575523590146,2016-05-16 17:44:52,732263161827495937,,,422287550,349814,56,0
732265588366684160,2016-05-16 17:44:55,730569446893326337,,,4919244200,351007,56,0
732265589599797248,2016-05-16 17:44:56,728735736753721344,728734646863839232,,3408762575,350188,3,1
732265596818100224,2016-05-16 17:44:57,732263161827495937,,,57871205,349814,56,0
732265601780056064,2016-05-16 17:44:58,,732244466497691648,,2732059282,196346,68,0
732265624475406336,2016-05-16 17:45:04,,,,4428509920,349814,56,0
732265634084458496,2016-05-16 17:45:06,,,,956571343,351002,9,0
732265684978241536,2016-05-16 17:45:18,,,,3026416094,350222,41,0
732265714317287424,2016-05-16 17:45:25,732181397893320704,,,1512034448,33338,40,0
732265750044545024,2016-05-16 17:45:34,728735736753721344,728734646863839232,,1205945437,350188,3,1
732265774102941697,2016-05-16 17:45:40,732263162678890497,,,3883205654,349814,56,0
732265789252755458,2016-05-16 17:45:43,731904526547095552,,,3271790814,349404,40,0
732265793585479680,2016-05-16 17:45:44,,,,14535521,398854,60,0
732265831288164353,2016-05-16 17:45:53,,,,4102497614,351029,50,0
732265878964707329,2016-05-16 17:46:05,732264116832731137,,,4659513317,350955,56,0
732265911189684226,2016-05-16 17:46:12,732263288449454080,,,732144057598812160,350755,56,0
732265923357245440,2016-05-16 17:46:15,732263161827495937,,,2815122098,349814,56,0
732265927786500096,2016-05-16 17:46:16,732258019812073472,,,4428141376,11774,56,0
732265937672372224,2016-05-16 17:46:19,732244466497691648,,,168729846,196346,68,0
732265973722578944,2016-05-16 17:46:27,732254140605202432,732244466497691648,,3020425427,196346,68,0
732265991757955072,2016-05-16 17:46:31,732263288449454080,,,2605445976,350755,56,0
732266060519493632,2016-05-16 17:46:48,732264116832731137,,,348256779,350955,56,0
732266097857024001,2016-05-16 17:46:57,732216564368445440,,,894670501,231635,11,0
732266102403686400,2016-05-16 17:46:58,732244466497691648,,,266389997,196346,68,0
732266141998022657,2016-05-16 17:47:07,732260358182723584,,,33905768,350977,4,1
732266151338725376,2016-05-16 17:47:09,732264116832731137,,,706196165306482688,350955,56,0
732266163112165376,2016-05-16 17:47:12,,,731284752624459786,729963640946831360,196346,68,0
732266181298688000,2016-05-16 17:47:17,,,,306346152,349784,39,0
732266200260993030,2016-05-16 17:47:21,,728735736753721344,,202289395,350188,3,1
732266204530900992,2016-05-16 17:47:22,732237929490186245,,,940600946,11774,56,0
732266212374118400,2016-05-16 17:47:24,,,,3883205654,349814,56,0
732266233010098176,2016-05-16 17:47:29,,,,2263235551,350832,56,0
732266245328912385,2016-05-16 17:47:32,,732244604800643073,,2262574488,1170428,56,0
732266247086309377,2016-05-16 17:47:32,,,,4102497614,351026,50,0
732266286001065985,2016-05-16 17:47:42,,,,245938477,350667,67,0
732266300769107968,2016-05-16 17:47:45,732263288449454080,,,2263235551,350755,56,0
732266320666853376,2016-05-16 17:47:50,732264116832731137,,,721717532923531264,350955,56,0
732266321430253568,2016-05-16 17:47:50,732264129117884416,,,721717532923531264,1170450,56,0
732266337305804802,2016-05-16 17:47:54,732254114223144961,716119521413574657,,2818670197,350945,50,0
732266408826937345,2016-05-16 17:48:11,,,,25033441,349283,60,0
732266437750980608,2016-05-16 17:48:18,,,,86861687,349704,14,0
732266458399432704,2016-05-16 17:48:23,,732169631893454849,,915729949,1170365,56,0
732266466511339524,2016-05-16 17:48:25,732254114223144961,716119521413574657,,4830472692,350945,50,0
732266499352711169,2016-05-16 17:48:32,,,,276547070,349764,56,0
732266516582825984,2016-05-16 17:48:37,732229383545442304,,,1280947238,349824,56,0
732266591497265153,2016-05-16 17:48:54,732260654254587905,,,2263235551,350832,56,0
732266615140548608,2016-05-16 17:49:00,,,,2842646549,351015,55,0
732266631662014464,2016-05-16 17:49:04,732260654254587905,,,228582708,350832,56,0
732266636946886656,2016-05-16 17:49:05,732260358182723584,,,2408250086,350977,4,1
732266641497718784,2016-05-16 17:49:06,,,,16166874,351010,67,0
732266680575987712,2016-05-16 17:49:16,732260500407488512,,,228582708,350689,56,0
732266732677693440,2016-05-16 17:49:28,728735736753721344,728734646863839232,,713011746135531524,350188,3,1
732266758116126721,2016-05-16 17:49:34,732263161827495937,,,228582708,349814,56,0
732266758539640833,2016-05-16 17:49:34,,,,37628724,350888,60,0
