,lower_day,user_id,user_raw_id,n_origin,n_retweet,n_reply,n_total
237,2016-09-01,76929,4514651121,1,115,0,116
238,2016-09-01,206683,742583289278386176,0,109,0,109
239,2016-09-01,63881,727558548540956672,0,106,0,107
240,2016-09-01,296474,34284291,48,59,0,107
241,2016-09-01,381577,10398432,0,104,0,105
242,2016-09-01,128198,14421907,99,0,5,104
243,2016-09-01,589207,260900063,1,99,0,104
244,2016-09-01,2093,2414913756,35,59,2,103
245,2016-09-01,39615,25655525,58,45,0,103
246,2016-09-01,11490,3299924978,8,10,82,101
247,2016-09-01,457895,272642967,1,99,1,101
248,2016-09-01,7801,1101298442,0,96,0,100
249,2016-09-01,234780,3627037398,0,100,0,100
250,2016-09-01,9821,2247799814,0,99,0,99
251,2016-09-01,24110,430459707,97,1,1,99
252,2016-09-01,36078,815871284,7,43,48,98
253,2016-09-01,116388,213118052,2,95,1,98
254,2016-09-01,244310,1155270618,0,98,0,98
255,2016-09-01,204018,189496721,0,97,0,97
256,2016-09-01,492527,17048273,9,82,3,96
257,2016-09-01,549159,766010106404302848,0,96,0,96
258,2016-09-01,85738,2954404008,1,90,1,95
259,2016-09-01,455590,1640929196,1,86,3,95
260,2016-09-01,13659,3041056268,85,2,7,94
261,2016-09-01,392915,15549900,0,93,0,93
262,2016-09-01,375069,289118612,90,1,1,92
263,2016-09-01,16379,2584613113,0,89,0,89
264,2016-09-01,23186,113243806,50,34,0,89
265,2016-09-01,251134,740661888602640384,2,0,86,88
266,2016-09-01,4526,315305555,68,19,0,87
267,2016-09-01,14382,612057704,0,87,0,87
268,2016-09-01,203945,35005762,7,80,0,87
269,2016-09-01,631021,242988968,0,84,0,84
270,2016-09-01,234724,582444261,4,72,7,83
271,2016-09-01,677677,512465557,0,83,0,83
272,2016-09-01,681879,2269622923,0,5,78,83
273,2016-09-01,2283,2156190929,25,28,27,82
274,2016-09-01,168545,85982089,0,82,0,82
275,2016-09-01,206837,742484898896740352,12,42,26,81
276,2016-09-01,272432,2976810483,0,81,0,81
277,2016-09-01,514106,3086932586,3,77,0,81
278,2016-09-01,561766,2418025080,2,1,76,81
279,2016-09-01,431664,2812310034,0,80,0,80
280,2016-09-01,2844,187657428,1,76,2,79
281,2016-09-01,5749,1355218452,72,0,7,79
282,2016-09-01,10507,14986009,4,47,1,78
