snopes,s_pd,s_ft,s_n,fake,f_pd,f_ft,f_n
http://www.snopes.com/politics/religion/muslimnurses.asp,2014-10-24 00:43:08,2016-05-17 18:48:46,39,http://theuspatriot.com/2014/04/15/muslim-nurses-refuse-to-wash-hands-before-operations-say-it-compromises-________/,2014-04-15 05:47:45,2016-05-16 16:57:46,1
http://www.snopes.com/media/notnews/vikingship.asp,2014-08-19 00:37:16,2016-05-25 06:26:12,3,http://worldnewsdailyreport.com/usa-viking-ship-discovered-near-mississipi-river/,2014-08-13 21:48:03,2016-05-24 17:24:57,12
http://www.snopes.com/media/notnews/babydead.asp,2014-08-08 23:35:40,2016-09-23 02:08:10,342,http://nationalreport.net/nyc-police-officer-kills-baby-breastfeeding-argument/,2014-08-07 17:15:06,2016-06-03 17:12:26,43
http://www.snopes.com/hud-tiny-homes-ban/,2016-04-05 05:34:10,2016-08-09 13:52:16,1,http://www.activistpost.com/2016/03/hud-wants-to-make-living-in-a-tiny-house-or-rv-illegal.html,2016-03-31 18:01:36,2016-05-31 23:31:21,3
http://www.snopes.com/computer/facebook/fbcharge.asp,2014-09-22 14:29:10,2016-05-27 20:00:45,34,http://weeklyworldnews.com/headlines/28511/facebook-to-charge/,2013-01-15 02:00:40,2016-07-09 01:41:35,1
http://www.snopes.com/media/notnews/antpoison.asp,2014-08-12 11:19:40,2016-07-09 17:23:15,3,http://www.thespoof.com/spoof-news/science-technology/11213/fda-certifies-aspartame-as-ant-poison,2006-08-12 08:09:40,,0
http://www.snopes.com/snowden-pronounced-dead/,2016-08-10 17:05:29,2016-08-10 17:08:02,48,http://www.disclose.tv/news/mistress_of_edward_snowden_pronounces_him_dead_in_russia/134048,2016-08-10 07:00:54,2016-08-10 12:02:20,44
http://www.snopes.com/marines-letter-michelle-obama/,2015-12-21 18:51:43,2016-07-07 16:41:46,7,http://dcgazette.com/2015/ouch-woman-hides-stolen-can-of-cookie-dough-in-her-vagina-then-boom/,2015-12-18 10:45:36,,0
http://www.snopes.com/4-year-old-boy-accused-of-hacking-fbi-database/,2016-08-12 19:24:14,2016-08-12 19:31:07,30,http://worldnewsdailyreport.com/usa-4-year-old-boy-accused-of-hacking-fbi-database/,2014-08-11 23:16:51,2016-08-14 18:41:26,1
http://www.snopes.com/chemotherapy-doctor-blows-the-whistle/,2016-06-28 17:15:10,2016-06-29 16:42:33,43,http://www.realfarmacy.com/chemotherapy-not-cancer/,2016-06-10 04:08:52,2016-06-10 22:32:26,49
http://www.snopes.com/pokemon-in-pokemon-go-will-scream-if-within-a-mile-of-a-sex-offender/,2016-08-03 17:26:21,2016-08-03 17:29:20,15,http://www.clickhole.com/article/gaming-safety-ftw-pokemon-pokemon-go-will-now-scre-4691,2016-07-28 14:25:00,2016-07-28 14:30:37,84
http://www.snopes.com/plan-launches-to-make-obama-addition-to-mount-rushmore/,2016-04-22 00:11:32,,0,http://americannews.com/this-president-is-being-considered-as-addition-to-mount-rushmore/,2014-11-19 05:08:55,2016-09-08 11:08:46,7
http://www.snopes.com/samsung-smartphones-truck-explodes/,2016-09-14 21:33:55,2016-09-14 21:45:23,14,http://worldnewsdailyreport.com/shipment-of-samsung-smartphones-explodes-during-transport-3-dead/,2016-09-01 16:53:13,2016-09-10 19:38:29,56
http://www.snopes.com/media/notnews/ativan.asp,2015-03-23 23:50:16,2016-06-04 18:34:20,1,http://gomerblog.com/2015/03/ativan-diffuser/,2015-03-22 15:08:22,2016-05-18 13:16:27,31
http://www.snopes.com/media/notnews/paltrowdead.asp,2015-06-09 03:31:54,,0,http://www.clickhole.com/article/gwyneth-paltrow-tried-survive-week-food-stamps-and-2546,2015-06-08 05:00:00,2016-06-15 15:56:05,6
http://www.snopes.com/media/notnews/zuckerbergislam.asp,2014-12-09 14:39:00,2016-07-30 04:18:52,1,http://nationalreport.net/report-facebooks-mark-zuckerberg-converted-islam/,2014-11-21 20:32:39,2016-06-16 01:24:50,32
http://www.snopes.com/white-house-logo-change/,2016-06-29 18:10:00,2016-06-29 18:19:10,105,http://www.redflagnews.com/headlines-2016/-outrage-what-obama-just-did-to-the-white-house-logo-will-make-you-sick,2016-06-28 00:00:00,2016-06-29 14:30:11,36
http://www.snopes.com/cdc-forced-vaccinations/,2016-09-03 15:48:08,2016-09-03 15:54:06,22,http://www.redflagnews.com/headlines-2016/cdc-proposes-rule-to-apprehend-and-detain-anyone-anywhere-at-any-time-for-any-duration-without-due-process-or-right-of-appeal-and-administer-forced-vaccinations,2016-09-01 00:00:00,2016-09-02 02:20:27,318
http://www.snopes.com/politics/guns/ssabullets.asp,2013-04-12 06:55:56,2016-06-21 03:18:22,6,http://www.infowars.com/social-security-administration-to-purchase-174-thousand-rounds-of-hollow-point-bullets/,2012-08-15 10:14:11,2016-06-09 23:16:34,3
http://www.snopes.com/police-shoot-department-store-mannequin-67-times-after-mistaking-it-for-gunman/,2016-08-16 19:13:14,2016-08-16 19:17:19,37,http://realnewsrightnow.com/2016/08/police-shoot-department-store-mannequin-67-times-mistaking-gunman/,2016-08-15 09:26:17,2016-08-15 13:27:45,372
http://www.snopes.com/food/tainted/pringlescancer.asp,2014-12-19 01:27:44,2016-05-19 22:20:28,9,http://www.realfarmacy.com/cancer-in-a-can-the-shocking-true-story-of-how-pringles-are-made/,2013-07-02 16:24:07,2016-05-19 00:49:31,129
http://www.snopes.com/army-memo-announces-martial-law/,2016-08-22 18:30:53,2016-08-22 18:43:08,52,http://www.redflagnews.com/headlines-2016/us-army-preparing-for-martial-law-take-a-look-at-this-document,2016-08-21 00:00:00,2016-08-22 03:20:14,51
http://www.snopes.com/politics/conspiracy/walmartclosures.asp,2015-04-25 02:40:58,2016-09-15 18:35:40,1,https://www.intellihub.com/jade-helm-walmart-and-dumbs-are-the-closed-walmarts-being-activated-as-central-command-for-underground-operations/,2015-04-21 05:45:24,2016-06-05 06:35:31,1
