,lower_day,user_id,user_raw_id,n_origin,n_retweet,n_reply,n_total
391,2016-07-01,4441,2784468627,121,0,0,121
392,2016-07-01,4860,931010875,4,117,0,121
393,2016-07-01,8043,905898240,13,108,0,121
394,2016-07-01,40806,141938077,116,5,0,121
395,2016-07-01,98172,712440047807520769,0,121,0,121
396,2016-07-01,202423,3258945304,5,116,0,121
397,2016-07-01,265674,746907692283858944,0,121,0,121
398,2016-07-01,8692,57749952,107,13,0,120
399,2016-07-01,3259,2414855658,31,88,0,119
400,2016-07-01,238440,2256871969,5,114,0,119
401,2016-07-01,293053,1953192330,7,112,0,119
402,2016-07-01,5075,177425469,118,0,0,118
403,2016-07-01,8038,705188226827333632,32,71,0,118
404,2016-07-01,295,2361859956,0,116,0,117
405,2016-07-01,1484,2350543976,117,0,0,117
406,2016-07-01,12635,705549682177658880,0,117,0,117
407,2016-07-01,17675,2775723830,0,117,0,117
408,2016-07-01,22653,363266582,16,100,0,117
409,2016-07-01,1522,4201300533,0,115,1,116
410,2016-07-01,1704,572265354,0,116,0,116
411,2016-07-01,2973,5950272,103,13,0,116
412,2016-07-01,12470,2371830000,114,2,0,116
413,2016-07-01,79863,2902986795,0,115,0,116
414,2016-07-01,1088,2727181057,115,0,0,115
415,2016-07-01,1398,1334075256,114,1,0,115
416,2016-07-01,4591,71278773,9,33,73,115
417,2016-07-01,4622,701539075208011776,79,24,0,115
418,2016-07-01,1833,2302191793,12,102,0,114
419,2016-07-01,3217,726440510332784640,106,7,0,114
420,2016-07-01,4911,273764520,0,114,0,114
421,2016-07-01,26367,3628257623,0,113,1,114
422,2016-07-01,26469,2750309806,0,113,1,114
423,2016-07-01,74172,538689112,114,0,0,114
424,2016-07-01,3898,3914047581,94,18,0,113
425,2016-07-01,6449,465158270,2,107,0,113
426,2016-07-01,22990,2972072795,113,0,0,113
427,2016-07-01,23412,53739953,2,42,0,113
428,2016-07-01,67117,115753716,112,1,0,113
429,2016-07-01,102480,736079508399214593,0,113,0,113
430,2016-07-01,320324,23979289,23,1,82,113
431,2016-07-01,2286,1495747434,10,91,0,112
432,2016-07-01,2409,3351687010,105,0,0,112
433,2016-07-01,5910,285328319,0,109,0,112
434,2016-07-01,6163,16276552,105,7,0,112
435,2016-07-01,62252,952886232,0,112,0,112
436,2016-07-01,72186,365029843,112,0,0,112
437,2016-07-01,134530,257186780,112,0,0,112
438,2016-07-01,2125,116705429,64,45,0,111
439,2016-07-01,2453,891685188,111,0,0,111
440,2016-07-01,4413,287505023,9,102,0,111
441,2016-07-01,7406,466028132,15,93,0,111
442,2016-07-01,25134,2801040021,111,0,0,111
443,2016-07-01,124664,3321952723,0,111,0,111
444,2016-07-01,170156,740335510976094208,0,111,0,111
445,2016-07-01,396,4521330855,0,110,0,110
446,2016-07-01,5140,16190478,78,23,3,110
447,2016-07-01,6273,3481965513,59,51,0,110
448,2016-07-01,12650,600415314,77,33,0,110
449,2016-07-01,14443,4738204860,89,10,0,110
450,2016-07-01,15716,14930609,1,107,1,110
451,2016-07-01,149114,739028965369774084,0,110,0,110
452,2016-07-01,184344,4098592756,0,110,0,110
453,2016-07-01,3393,246380932,62,45,0,109
454,2016-07-01,6353,4918685888,0,109,0,109
