user_id,n_fake_sites,n_fact_sites,n_total_sites
707775218643652612,22,3,25
708344070263812096,22,3,25
714908382725996546,22,4,26
724399983655587840,22,4,26
725324464410513414,22,2,24
725787181084594177,22,2,24
726940680187183106,22,3,25
730415229717381120,22,4,26
733663385443782656,22,3,25
734087285210120192,22,3,25
749125675668348929,22,3,25
757042613241286656,22,2,24
758337585223569408,22,2,24
759101276462387200,22,3,25
759763645534314496,22,4,26
784936985685209088,22,3,25
793064950247854080,22,2,24
9953462,21,4,25
12912542,21,3,24
15467680,21,2,23
15496973,21,4,25
16155881,21,5,26
16252985,21,3,24
16592046,21,3,24
17107740,21,4,25
17495913,21,4,25
18067164,21,3,24
19366171,21,4,25
21802725,21,4,25
21861371,21,4,25
22420450,21,2,23
22822556,21,4,25
23114490,21,4,25
23841163,21,3,24
25989394,21,3,24
29370878,21,3,24
33529092,21,3,24
34150442,21,1,22
34718212,21,4,25
34996703,21,2,23
37020028,21,3,24
39755667,21,3,24
42930536,21,2,23
44635670,21,1,22
47806130,21,3,24
49393232,21,4,25
50948136,21,4,25
54773913,21,3,24
59273831,21,0,21
63547314,21,3,24
64114176,21,2,23
66034438,21,3,24
67326212,21,3,24
67903191,21,2,23
69190453,21,3,24
70125620,21,3,24
71807953,21,4,25
72394136,21,5,26
73513449,21,4,25
74841347,21,4,25
77499983,21,3,24
78431908,21,3,24
84548925,21,3,24
91736511,21,1,22
98416337,21,3,24
115392787,21,0,21
115681686,21,2,23
120146232,21,4,25
121962354,21,3,24
143115107,21,4,25
145832580,21,3,24
159097782,21,2,23
174142676,21,1,22
190044015,21,3,24
198054116,21,5,26
201781540,21,2,23
213451424,21,2,23
223610043,21,3,24
228791219,21,3,24
238015192,21,2,23
242880993,21,0,21
252935567,21,4,25
264935205,21,3,24
271602903,21,4,25
274891222,21,3,24
284383568,21,4,25
287259683,21,2,23
295886838,21,1,22
329681844,21,4,25
345858289,21,3,24
367750490,21,3,24
380156346,21,4,25
385194334,21,3,24
415725818,21,3,24
443304640,21,3,24
444269803,21,3,24
463858467,21,3,24
469086244,21,4,25
469848800,21,3,24
472589320,21,1,22
479862285,21,4,25
482788403,21,3,24
485960927,21,4,25
495602226,21,4,25
498316263,21,3,24
500154514,21,3,24
507468566,21,3,24
537370534,21,3,24
537772034,21,2,23
548684837,21,3,24
550987205,21,4,25
563840329,21,5,26
594937448,21,4,25
613975936,21,2,23
628638850,21,4,25
636503667,21,2,23
719391704,21,4,25
753205987,21,5,26
774577836,21,0,21
801050580,21,1,22
801168552,21,3,24
808014258,21,3,24
811407888,21,3,24
851059680,21,3,24
860691823,21,5,26
860807707,21,3,24
898445311,21,3,24
902596597,21,4,25
929882659,21,3,24
935266471,21,4,25
964675442,21,1,22
1008492163,21,3,24
1239688873,21,1,22
1255621518,21,2,23
1259393028,21,4,25
1311194118,21,1,22
1325848574,21,2,23
1534334539,21,2,23
1548975014,21,3,24
1683322309,21,3,24
1694109350,21,1,22
1712386268,21,1,22
1852852502,21,4,25
1859409636,21,4,25
1860953034,21,5,26
1893836046,21,3,24
1942152170,21,1,22
1959047250,21,2,23
1977365496,21,2,23
2175926977,21,3,24
2182657752,21,2,23
2218437631,21,3,24
2252475822,21,4,25
2302327181,21,3,24
2319887304,21,2,23
2352127176,21,1,22
2447038212,21,2,23
2491813500,21,1,22
2502606786,21,2,23
2572645350,21,4,25
2592410190,21,4,25
2599136157,21,4,25
2609806866,21,2,23
2612313356,21,0,21
2638096810,21,1,22
2686010270,21,4,25
2733091027,21,1,22
2751254297,21,3,24
2771555113,21,3,24
2771588954,21,3,24
2777370115,21,1,22
2783538092,21,0,21
2850722943,21,4,25
2856154741,21,4,25
2884079135,21,4,25
2899568855,21,3,24
2993975016,21,2,23
3075515652,21,1,22
3093907031,21,4,25
3184471478,21,3,24
3308167423,21,1,22
3308822353,21,3,24
3317319301,21,5,26
3322642872,21,4,25
3327424237,21,4,25
3356662759,21,4,25
3385997379,21,2,23
3387188439,21,5,26
3391185461,21,4,25
3403554208,21,4,25
3422870493,21,3,24
3677681712,21,2,23
3749624055,21,5,26
3799846158,21,3,24
3845461457,21,2,23
3883907000,21,3,24
4070999663,21,3,24
4105815614,21,3,24
4201300533,21,2,23
4219197432,21,4,25
4225209080,21,1,22
4268991619,21,2,23
4270517292,21,5,26
4282865114,21,5,26
4292539453,21,2,23
4342659921,21,1,22
4353480989,21,4,25
4388881763,21,3,24
4516746447,21,4,25
4553803392,21,2,23
4568128942,21,3,24
4626000526,21,1,22
4659376637,21,2,23
4709165706,21,3,24
4764967337,21,4,25
4786763677,21,3,24
4827809970,21,3,24
4853922562,21,2,23
4855587569,21,2,23
4875427757,21,3,24
4875896757,21,4,25
4884913213,21,4,25
4885982967,21,3,24
4888982598,21,3,24
4897039492,21,5,26
4907385920,21,3,24
703042911101968385,21,3,24
703681242429046784,21,3,24
703755811399585793,21,3,24
704853530981462016,21,5,26
705070447893876737,21,2,23
706156588407529473,21,3,24
707640775643930624,21,4,25
708469711411908608,21,4,25
710550537444265985,21,4,25
712634960281223168,21,3,24
713172021438337025,21,2,23
717080381153894400,21,3,24
718172579584876544,21,2,23
718353883991515136,21,0,21
719198026909290496,21,4,25
719283382710984704,21,3,24
720684341647577088,21,3,24
726236936038440960,21,3,24
728616248439939072,21,3,24
730056968237371398,21,1,22
733467830478245890,21,3,24
733866462796877824,21,4,25
735148471376830464,21,3,24
741190491195248642,21,2,23
741393440856903681,21,4,25
745103416444198912,21,4,25
745462603812462592,21,4,25
745681473416605696,21,4,25
750377949065535488,21,4,25
750868791752593408,21,3,24
757274031519363072,21,4,25
757798189512531970,21,3,24
757842087542829057,21,1,22
760098153307701250,21,5,26
765382188787437568,21,4,25
772891119424331776,21,3,24
785645577346256896,21,3,24
788125487562305536,21,4,25
14101483,20,3,23
14346664,20,3,23
14464961,20,5,25
15161367,20,4,24
15293839,20,2,22
15995432,20,4,24
16074465,20,1,21
16335102,20,4,24
16722647,20,1,21
17491671,20,2,22
17494767,20,3,23
17545469,20,3,23
17719592,20,4,24
18230524,20,3,23
18466324,20,2,22
18844955,20,3,23
19237079,20,2,22
19354935,20,4,24
20094273,20,2,22
21426342,20,5,25
21587082,20,3,23
21733067,20,4,24
23228167,20,1,21
25446957,20,2,22
25922632,20,1,21
26900055,20,5,25
28625375,20,4,24
28999528,20,3,23
29531485,20,1,21
32452446,20,4,24
36511832,20,1,21
36792190,20,4,24
40788228,20,4,24
40840621,20,1,21
40988391,20,3,23
42284908,20,4,24
45252500,20,3,23
46772163,20,1,21
48526013,20,1,21
57479109,20,3,23
61008645,20,4,24
62070111,20,5,25
64615109,20,1,21
68888750,20,3,23
72546927,20,3,23
88781418,20,3,23
90182089,20,3,23
90286816,20,3,23
95670177,20,2,22
107742714,20,4,24
110071965,20,2,22
116705429,20,3,23
117106702,20,2,22
133385433,20,2,22
141642957,20,4,24
146485565,20,2,22
153283018,20,3,23
172255937,20,4,24
175243720,20,2,22
176830279,20,4,24
179864153,20,2,22
202417547,20,3,23
206962580,20,1,21
211068552,20,5,25
213072536,20,3,23
226595490,20,1,21
226841655,20,3,23
226944217,20,2,22
237140311,20,3,23
237387800,20,1,21
241430222,20,3,23
242527201,20,1,21
246082925,20,4,24
251428031,20,3,23
251668274,20,2,22
264376821,20,2,22
270134005,20,2,22
279294502,20,3,23
281685471,20,2,22
286025358,20,0,20
286349282,20,4,24
291709775,20,3,23
293558725,20,4,24
297395814,20,0,20
298837102,20,1,21
299081304,20,3,23
308464109,20,3,23
331467423,20,2,22
333550143,20,0,20
333823882,20,3,23
343656851,20,2,22
355151947,20,5,25
357232722,20,4,24
364032315,20,3,23
367905405,20,4,24
373331421,20,3,23
381555566,20,2,22
384094961,20,4,24
387813577,20,2,22
389131962,20,4,24
405504484,20,2,22
409212580,20,4,24
413312369,20,4,24
419256844,20,4,24
421153342,20,4,24
427190975,20,3,23
429978726,20,3,23
447085006,20,2,22
456334233,20,4,24
466183294,20,2,22
473279639,20,3,23
488382884,20,1,21
513855461,20,1,21
526555848,20,3,23
537230085,20,3,23
549600981,20,3,23
558738770,20,2,22
582140844,20,3,23
590173575,20,3,23
591879987,20,1,21
601890937,20,3,23
631437340,20,3,23
707242468,20,1,21
716800970,20,2,22
726756098,20,2,22
731700746,20,4,24
763653342,20,0,20
783252408,20,3,23
816641287,20,1,21
822225433,20,4,24
831651150,20,5,25
864927037,20,3,23
865321086,20,2,22
872786449,20,4,24
874857829,20,4,24
876553406,20,4,24
879154249,20,3,23
882947018,20,4,24
884981305,20,1,21
963230432,20,0,20
993896732,20,4,24
1027404487,20,2,22
1035115242,20,2,22
1064203465,20,4,24
1076570982,20,2,22
1133241936,20,3,23
1146809210,20,2,22
1268570407,20,3,23
1289548934,20,0,20
1308509430,20,3,23
