id,date_captured,tweet_counts
60247,2016-07-31 22:51:01.832742,2284
60280,2016-07-31 23:19:11.196131,2
60310,2016-08-01 00:09:30.889017,6
60330,2016-08-01 00:40:06.519558,1
60387,2016-08-01 02:03:58.473492,1
60402,2016-08-01 02:22:40.274187,3
60416,2016-08-01 02:43:51.030722,2
60441,2016-08-01 03:08:23.332383,1
60470,2016-08-01 03:47:54.233418,1
60578,2016-08-01 05:53:30.38971,5
60695,2016-06-29 13:20:54.103219,217
60749,2016-08-01 09:45:28.356514,1
60756,2016-08-01 09:59:24.75144,5
60824,2016-08-01 11:09:26.661112,1
60830,2016-08-01 11:11:08.911366,1
60905,2016-08-01 12:12:20.619999,1
60952,2016-08-01 12:44:04.252825,16
60965,2016-08-01 12:52:41.120655,1
61027,2016-08-01 13:38:20.661069,2
61090,2016-08-01 14:16:45.742414,10
61098,2016-08-01 14:15:27.657224,4
61101,2016-08-01 14:19:24.033676,7
61116,2016-08-01 14:25:47.102296,1
61134,2016-08-01 14:39:34.440905,1
61163,2016-08-01 15:00:04.937325,14
61186,2016-08-01 15:10:42.373669,21
61214,2016-06-29 13:20:54.103219,2231
61236,2016-08-01 15:34:25.306275,1
61305,2016-08-01 16:10:48.15922,40
61316,2016-08-01 16:17:08.165626,1
61350,2016-08-01 16:32:35.680458,1
61365,2016-08-01 16:40:37.718697,25
61520,2016-08-01 18:08:04.462179,434
61542,2016-08-01 18:16:26.469735,4
61543,2016-08-01 18:18:56.617074,2
61563,2016-08-01 18:27:01.045763,9
61577,2016-08-01 18:35:14.316497,136
61583,2016-08-01 18:38:08.434388,67
61600,2016-08-01 18:49:56.443689,2
61676,2016-08-01 19:35:23.139956,1
61682,2016-08-01 19:38:02.396587,810
61704,2016-08-01 19:47:25.647379,1
61743,2016-08-01 20:06:21.122632,778
61753,2016-08-01 20:12:33.565717,1
61754,2016-08-01 20:12:55.644773,1
61774,2016-08-01 20:22:42.914326,8
61778,2016-08-01 20:25:17.895136,2
61779,2016-08-01 20:25:46.382839,1
61789,2016-08-01 20:29:59.871824,1
61818,2016-08-01 20:47:16.428637,3
61827,2016-08-01 20:51:26.812032,1
61866,2016-08-01 21:11:42.290668,170
61898,2016-08-01 21:23:31.138979,2
61910,2016-08-01 21:29:04.632177,214
61932,2016-08-01 21:42:46.030951,36
61936,2016-08-01 21:47:10.720328,1
61943,2016-08-01 21:50:09.277023,36
61982,2016-08-01 22:06:58.43567,5264
61990,2016-08-01 22:08:29.372223,1407
62004,2016-08-01 22:20:52.157789,220
62019,2016-08-01 22:33:45.687967,60
62027,2016-08-01 22:38:36.827767,2
62028,2016-08-01 22:41:37.540032,142
62058,2016-08-01 22:57:25.654406,22
62072,2016-08-01 23:05:00.720247,1
62093,2016-08-01 23:11:51.600572,1
62098,2016-08-01 23:15:17.481906,1
62129,2016-08-01 23:32:10.107408,21
62158,2016-06-29 13:20:54.103219,171
62202,2016-08-02 00:24:02.163583,1
62264,2016-08-02 01:11:47.114764,6
62382,2016-08-02 02:43:46.170336,2
62407,2016-08-02 03:08:06.54986,1
62431,2016-08-02 03:31:11.941138,1
62450,2016-08-02 04:02:09.239832,4
62496,2016-08-02 05:03:09.482774,1
62507,2016-08-02 05:08:37.969499,1
62508,2016-06-29 13:20:54.103219,1059
62663,2016-08-02 08:10:50.217739,1
62715,2016-08-02 09:30:03.781272,2
62721,2016-08-02 09:33:25.48804,23
62759,2016-08-02 10:36:46.489005,39
62768,2016-08-02 10:49:15.058379,1
62861,2016-08-02 11:50:12.092681,1
63087,2016-08-02 14:15:25.358164,3
63153,2016-08-02 15:00:10.897174,31
63237,2016-06-29 13:20:54.103219,160
63249,2016-08-02 15:46:08.635391,1
63314,2016-08-02 16:18:50.858541,1
63336,2016-08-02 16:26:46.799764,1
63346,2016-08-02 16:30:59.925125,3
63351,2016-08-02 16:31:06.420846,3
63365,2016-08-02 16:36:08.314503,3
63367,2016-08-02 16:37:57.454859,3
63377,2016-08-02 16:41:38.265406,2
63381,2016-08-02 16:43:40.750024,3
63462,2016-08-02 17:22:19.89613,39
63481,2016-08-02 17:28:56.970171,3
63521,2016-08-02 17:52:04.957569,604
63553,2016-08-02 18:03:28.048717,1
63585,2016-08-02 18:23:48.495831,229
63629,2016-08-02 18:44:57.259789,10
63632,2016-08-02 18:45:28.226931,9
63643,2016-08-02 18:51:27.056833,12
63683,2016-08-02 19:15:21.539286,45
63692,2016-08-02 19:17:20.695275,2
63725,2016-08-02 19:34:06.894604,156
63783,2016-08-02 20:10:34.764495,154
