user_id,n_fake_urls,n_fact_urls,n_total_urls
310643025,613,3,616
1895204172,613,7,620
705549682177658880,613,17,630
20344733,610,5,615
1447605738,610,13,623
4879012271,610,11,621
701099574883057664,609,5,614
705070447893876737,606,5,611
420502656,605,6,611
705426933123649536,605,6,611
52520387,603,2,605
564648532,603,5,608
720720437852803072,603,0,603
2893898514,602,0,602
256184059,598,16,614
2750309806,598,25,623
3350716047,598,0,598
4870642869,595,1,596
3923762177,594,22,616
754974223907430402,594,9,603
29463046,591,8,599
27757215,590,0,590
594937448,590,13,603
605963171,590,18,608
3269495126,590,15,605
2877712525,589,26,615
757274031519363072,589,12,601
34665792,587,6,593
1164139794,587,1,588
4260720134,587,5,592
750868791752593408,586,9,595
52141764,585,12,597
3598959794,585,6,591
2954137227,583,4,587
3384385671,583,20,603
14791358,582,14,596
